price_recv,dt
11750.95,1597023318.989574
11750.95,1597023319.026851
11750.96,1597023319.032962
11751.13,1597023319.035641
11751.92,1597023319.090375
11751.82,1597023319.318657
11751.92,1597023319.322944
11752.3,1597023319.323379
11752.41,1597023319.408874
11752.4,1597023319.612783
11752.4,1597023319.814613
11752.89,1597023319.926126
11752.9,1597023319.933101
11752.89,1597023320.023591
11752.89,1597023320.136868
11752.9,1597023320.577752
11752.89,1597023320.759216
11752.89,1597023320.861367
11752.89,1597023320.961988
11752.78,1597023321.0753
11752.78,1597023321.079249
11752.89,1597023321.079637
11752.89,1597023321.081271
11752.89,1597023321.081867
11752.89,1597023321.082228
11752.89,1597023321.089257
11752.9,1597023321.093649
11753.31,1597023321.097753
11753.31,1597023321.098189
11753.31,1597023321.098791
11753.31,1597023321.099153
11753.31,1597023321.099486
11753.38,1597023321.099829
11753.38,1597023321.10015
11752.88,1597023321.294616
11752.82,1597023321.309397
11752.89,1597023321.381388
11752.87,1597023321.517586
11752.87,1597023321.61662
11752.98,1597023321.689465
11753.6,1597023321.927753
11753.61,1597023321.979162
11753.64,1597023322.061848
11753.88,1597023322.457746
11753.88,1597023322.46219
11753.88,1597023322.515098
11753.89,1597023323.124544
11753.88,1597023323.191596
11753.88,1597023323.204727
11753.88,1597023323.478965
11753.88,1597023323.495564
11753.89,1597023323.514863
11753.88,1597023323.919464
11753.88,1597023324.559092
11753.89,1597023325.423914
11754.13,1597023325.427052
11754.63,1597023325.429638
11754.26,1597023325.445867
11754.87,1597023325.515176
11754.88,1597023325.61375
11754.88,1597023325.728281
11754.88,1597023325.832405
11754.88,1597023325.957662
11754.88,1597023326.104898
11754.88,1597023326.67882
11754.88,1597023327.206922
11754.88,1597023327.308229
11754.88,1597023327.423594
11754.88,1597023327.789205
11754.88,1597023327.936408
11754.88,1597023328.040891
11754.88,1597023328.151565
11754.88,1597023328.201118
11754.88,1597023328.204077
11754.88,1597023328.231004
11754.88,1597023328.365487
11754.88,1597023328.459354
11754.89,1597023328.815794
11754.88,1597023328.93503
11754.89,1597023330.008298
11754.89,1597023330.02321
11755.12,1597023330.149567
11755.13,1597023330.757413
11755.12,1597023330.886232
11755.13,1597023330.943437
11755.73,1597023330.946784
11755.72,1597023331.107955
11755.72,1597023331.21574
11755.72,1597023331.263216
11755.72,1597023331.301586
11755.72,1597023331.334361
11755.72,1597023331.424089
11755.72,1597023331.445736
11755.72,1597023331.747884
11755.72,1597023331.949861
11755.72,1597023332.050114
11755.72,1597023332.160589
11755.72,1597023332.260329
11755.72,1597023332.378007
11755.72,1597023332.451729
11755.72,1597023332.47079
11755.72,1597023332.585308
11755.72,1597023332.79793
11755.73,1597023333.059335
11755.97,1597023333.06292
11755.85,1597023333.072558
11755.96,1597023333.111732
11755.84,1597023333.115328
11755.86,1597023333.201123
11755.95,1597023333.31628
11755.95,1597023333.415661
11755.95,1597023333.523544
11755.95,1597023333.641493
11755.95,1597023333.794481
11755.95,1597023333.849781
11755.95,1597023334.176101
11755.95,1597023334.275462
11755.96,1597023334.390315
11755.95,1597023334.430674
11755.95,1597023334.693495
11755.95,1597023334.914124
11755.95,1597023335.014507
11755.96,1597023335.181406
11755.96,1597023335.192324
11755.96,1597023335.747273
11755.96,1597023335.911004
11755.96,1597023335.916777
11755.96,1597023336.070098
11755.96,1597023336.369617
11755.96,1597023336.584093
11755.96,1597023336.654938
11755.96,1597023336.786948
11755.96,1597023336.888468
11755.96,1597023336.976892
11755.96,1597023337.19948
11755.97,1597023337.31283
11756.08,1597023337.315719
11756.49,1597023337.319522
11756.5,1597023337.319983
11756.24,1597023337.326987
11756.54,1597023337.406123
11756.54,1597023337.450003
11756.54,1597023337.472859
11756.54,1597023337.523213
11756.54,1597023337.623165
11756.58,1597023337.758441
11756.58,1597023337.826998
11756.49,1597023337.930299
11756.35,1597023338.101528
11756.35,1597023338.1956
11756.35,1597023338.257085
11756.36,1597023338.293923
11756.35,1597023338.36259
11756.43,1597023338.439108
11756.5,1597023338.441303
11756.36,1597023338.547018
